"Date","Price","Open","High","Low","Vol.","Change %"
"24-09-2025","760.66","757.50","761.11","752.53","8.83M","0.70%"
"23-09-2025","755.40","769.25","770.60","751.07","10.87M","-1.28%"
"22-09-2025","765.16","781.84","785.73","764.47","11.71M","-1.70%"
"19-09-2025","778.38","786.42","790.80","769.19","23.70M","-0.24%"
"18-09-2025","780.25","780.75","788.78","773.36","10.95M","0.58%"
"17-09-2025","775.72","779.99","783.29","766.31","9.40M","-0.42%"
"16-09-2025","779.00","767.00","781.36","765.10","11.78M","1.87%"
"15-09-2025","764.70","757.47","774.07","751.98","10.53M","1.21%"
"12-09-2025","755.59","748.72","757.57","743.76","8.25M","0.62%"
"11-09-2025","750.90","754.65","757.10","748.37","7.92M","-0.14%"
"10-09-2025","751.98","765.13","765.70","751.00","12.48M","-1.79%"
"09-09-2025","765.70","757.49","766.30","753.43","11.00M","1.78%"
"08-09-2025","752.30","755.99","766.51","752.02","13.09M","-0.02%"
"05-09-2025","752.45","752.61","757.95","745.03","9.66M","0.51%"
"04-09-2025","748.65","748.57","761.16","745.82","11.44M","1.57%"
"03-09-2025","737.05","736.00","740.25","733.99","7.70M","0.26%"
"02-09-2025","735.11","726.04","736.00","721.73","9.35M","-0.49%"
"29-08-2025","738.70","745.28","747.14","735.35","9.07M","-1.65%"
"28-08-2025","751.11","744.00","753.05","740.79","7.47M","0.50%"
"27-08-2025","747.38","752.30","754.15","742.84","8.32M","-0.89%"
"26-08-2025","754.10","750.80","754.87","747.94","7.60M","0.11%"
"25-08-2025","753.30","754.82","758.88","750.13","6.86M","-0.20%"
"22-08-2025","754.79","739.23","756.90","734.39","10.61M","2.12%"
"21-08-2025","739.10","744.71","745.50","733.11","8.88M","-1.15%"
"20-08-2025","747.72","747.57","750.20","731.00","11.90M","-0.50%"
"19-08-2025","751.48","767.12","767.17","749.36","12.29M","-2.07%"
"18-08-2025","767.37","775.09","775.81","756.56","16.51M","-2.27%"
"15-08-2025","785.23","784.15","796.25","780.82","13.38M","0.40%"
"14-08-2025","782.13","777.88","787.81","772.51","8.12M","0.26%"
"13-08-2025","780.08","791.15","795.46","778.23","8.81M","-1.26%"
"12-08-2025","790.00","773.00","793.67","772.43","14.58M","3.15%"
"11-08-2025","765.87","770.08","773.46","764.67","7.61M","-0.45%"
"08-08-2025","769.30","762.75","769.90","758.58","7.32M","0.98%"
"07-08-2025","761.83","773.49","775.00","759.55","9.02M","-1.32%"
"06-08-2025","771.99","770.00","773.64","760.46","9.73M","1.12%"
"05-08-2025","763.46","776.45","783.13","763.00","11.64M","-1.66%"
"04-08-2025","776.37","760.00","776.85","758.41","15.80M","3.51%"
"01-08-2025","750.01","760.73","766.00","745.31","19.03M","-3.03%"
"31-07-2025","773.44","775.20","784.75","765.51","38.83M","11.25%"
"30-07-2025","695.21","708.09","708.50","691.20","27.08M","-0.68%"
"29-07-2025","700.00","720.00","724.47","699.91","13.27M","-2.46%"
"28-07-2025","717.63","715.20","724.74","712.68","8.72M","0.69%"
"25-07-2025","712.68","716.91","720.65","711.90","8.27M","-0.30%"
"24-07-2025","714.80","717.05","723.62","714.00","10.92M","0.17%"
"23-07-2025","713.58","706.36","714.63","704.93","8.77M","1.24%"
"22-07-2025","704.81","716.19","716.60","701.41","8.92M","-1.14%"
"21-07-2025","712.97","706.80","717.00","705.76","9.40M","1.23%"
"18-07-2025","704.28","702.19","704.71","691.65","12.78M","0.41%"
"17-07-2025","701.41","704.39","705.90","697.10","11.80M","-0.21%"
"16-07-2025","702.91","713.37","713.97","699.27","13.07M","-1.05%"
"15-07-2025","710.39","723.90","724.47","709.82","11.53M","-1.46%"
"14-07-2025","720.92","717.60","728.00","716.55","8.94M","0.48%"
"11-07-2025","717.51","722.49","725.16","709.70","10.87M","-1.34%"
"10-07-2025","727.24","731.55","735.80","719.60","9.92M","-0.76%"
"09-07-2025","732.78","722.72","737.53","722.72","11.42M","1.68%"
"08-07-2025","720.67","721.57","722.91","714.81","7.77M","0.32%"
"07-07-2025","718.35","717.60","727.00","713.51","9.46M","-0.09%"
"03-07-2025","719.01","726.61","729.03","714.42","8.60M","0.76%"
"02-07-2025","713.57","715.33","720.30","712.80","9.34M","-0.79%"
"01-07-2025","719.22","736.88","737.75","715.37","13.43M","-2.56%"
"30-06-2025","738.09","744.55","747.90","734.25","15.40M","0.61%"
"27-06-2025","733.63","726.52","735.43","725.86","18.78M","1.04%"
"26-06-2025","726.09","714.35","728.22","711.05","13.96M","2.46%"
"25-06-2025","708.68","713.32","716.58","705.38","9.32M","-0.49%"
"24-06-2025","712.20","704.89","713.19","702.11","13.82M","1.96%"
"23-06-2025","698.53","683.69","699.05","678.75","11.08M","2.37%"
"20-06-2025","682.35","700.75","701.82","678.67","22.54M","-1.93%"
"18-06-2025","695.77","698.18","701.59","694.90","10.07M","-0.21%"
"17-06-2025","697.23","702.00","705.97","696.06","10.07M","-0.70%"
"16-06-2025","702.12","699.33","707.15","693.51","13.72M","2.82%"
"13-06-2025","682.87","687.95","694.57","681.01","9.27M","-1.51%"
"12-06-2025","693.36","693.30","695.38","687.00","7.32M","-0.11%"
"11-06-2025","694.14","703.71","708.87","691.99","9.58M","-1.18%"
"10-06-2025","702.40","701.34","703.23","691.56","10.85M","1.20%"
"09-06-2025","694.06","698.46","705.19","693.94","12.77M","-0.52%"
"06-06-2025","697.71","696.17","702.81","691.87","11.73M","1.91%"
"05-06-2025","684.62","691.66","694.38","682.25","13.12M","-0.48%"
"04-06-2025","687.95","669.32","689.00","668.57","14.03M","3.16%"
"03-06-2025","666.85","671.45","675.58","665.03","11.59M","-0.60%"
"02-06-2025","670.90","644.39","673.26","644.26","15.77M","3.62%"
"30-05-2025","647.49","642.50","649.41","632.78","16.24M","0.38%"
"29-05-2025","645.05","651.65","653.32","639.50","8.88M","0.23%"
"28-05-2025","643.58","642.60","650.88","642.55","9.04M","0.20%"
"27-05-2025","642.32","635.41","643.08","632.75","9.51M","2.43%"
"23-05-2025","627.06","624.00","632.45","622.65","8.45M","-1.49%"
"22-05-2025","636.57","634.05","643.25","630.71","8.23M","0.17%"
"21-05-2025","635.50","631.79","646.61","630.17","11.46M","-0.25%"
"20-05-2025","637.10","636.01","639.35","632.26","6.74M","-0.52%"
"19-05-2025","640.43","628.25","643.00","627.80","9.59M","0.01%"
"16-05-2025","640.34","637.96","640.44","626.15","18.52M","-0.55%"
"15-05-2025","643.88","654.28","657.31","638.58","14.34M","-2.35%"
"14-05-2025","659.36","661.21","662.67","654.31","12.35M","0.51%"
"13-05-2025","656.03","645.54","660.92","642.83","18.57M","2.60%"
"12-05-2025","639.43","630.92","640.39","621.03","21.97M","7.92%"
"09-05-2025","592.49","603.72","606.97","591.71","10.43M","-0.92%"
"08-05-2025","598.01","606.28","611.30","596.62","14.62M","0.20%"
"07-05-2025","596.81","590.36","603.08","586.67","13.16M","1.62%"
"06-05-2025","587.31","592.53","596.03","586.58","10.60M","-2.00%"
"05-05-2025","599.27","591.22","603.21","588.05","13.89M","0.38%"
"02-05-2025","597.02","583.46","604.34","578.33","24.74M","4.34%"
"01-05-2025","572.21","592.08","592.95","570.50","31.16M","4.23%"
"30-04-2025","549.00","538.40","549.10","529.50","29.24M","-0.98%"
"29-04-2025","554.44","546.00","556.57","544.12","11.84M","0.85%"
"28-04-2025","549.74","555.64","558.49","540.59","15.18M","0.45%"
"25-04-2025","547.27","546.80","549.86","536.25","17.10M","2.65%"
"24-04-2025","533.15","518.73","533.90","517.50","13.91M","2.48%"
"23-04-2025","520.27","528.53","535.34","516.52","18.17M","4.00%"
"22-04-2025","500.28","491.87","506.88","486.36","17.40M","3.22%"
"21-04-2025","484.66","491.33","493.50","479.80","16.17M","-3.35%"
"17-04-2025","501.48","505.25","507.30","498.01","14.59M","-0.17%"
"16-04-2025","502.31","508.51","513.37","495.63","18.74M","-3.68%"
"15-04-2025","521.52","532.10","537.94","517.50","15.56M","-1.87%"
"14-04-2025","531.48","556.17","557.77","528.28","14.13M","-2.22%"
"11-04-2025","543.57","535.51","547.40","528.59","17.64M","-0.50%"
"10-04-2025","546.29","575.49","581.30","535.30","28.17M","-6.74%"
"09-04-2025","585.77","509.27","587.89","502.11","39.22M","14.76%"
"08-04-2025","510.45","543.25","547.43","502.86","28.03M","-1.12%"
"07-04-2025","516.25","485.10","539.37","481.90","36.61M","2.28%"
"04-04-2025","504.73","506.62","518.00","494.20","38.59M","-5.06%"
"03-04-2025","531.62","546.22","552.56","530.30","34.78M","-8.96%"
"02-04-2025","583.93","574.91","592.66","573.36","13.47M","-0.35%"
"01-04-2025","586.00","570.84","589.91","570.00","12.84M","1.67%"
"31-03-2025","576.36","563.50","578.70","553.30","21.12M","-0.07%"
"28-03-2025","576.74","600.31","601.75","573.92","17.60M","-4.29%"
"27-03-2025","602.58","602.00","614.25","600.10","10.44M","-1.37%"
"26-03-2025","610.98","624.89","626.75","606.61","12.66M","-2.45%"
"25-03-2025","626.31","626.76","633.88","621.18","15.31M","1.21%"
"24-03-2025","618.85","614.97","622.54","612.20","15.74M","3.79%"
